original_reference,original_ref_checked,non_original_reference,habitat_naturality,biome,species,mycorrhiza type,remark_mycorrhiza_ type,curator_remark_1_name,curator_remark_1_comment,curator_remark_2_name,curator _remark_2_comment,curator_remark_3_name,curator_remark_3_comment,other_remarks,consensus_mycorrhizal_state
"Fontana, A. (1961). Primo contributo allo studio delle micorrize dei pioppi in Piemonte. Allionia, 7, 87-129.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Fontana, A., & Centrella, E. (1967). Ectomicorrize prodotte da funghi ipogei. Allionia, 13, 149-176.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Carpinus betulus,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Froidevaux, L., & Schwarzel, C. (1977). Aspects oqualitatifs et quantitatifs des champignons hypoges truffoides mycorrhiziques en foret. Ber Eidg Anstalt Forstl Vers.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Carpinus betulus,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Frydman, I. (1957). Mykotrofizm roślinności pokrywającej gruzy i ruiny domów Wrocławia [Mycotrophic properties of plants growing on ruins in Wrocław]. Acta Societatis Botanicorum Poloniae, 26(1), 45-60.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Tilia cordata,AM; others not addressed,,Leho Tedersoo,"incorrect report (this genus is EcM, most reports of this species are EcM; in this study 24% reports conflict with predictions)",Mark Brundrett,probably EcM,,,,EcM
"Frydman, I. (1957). Mykotrofizm roślinności pokrywającej gruzy i ruiny domów Wrocławia [Mycotrophic properties of plants growing on ruins in Wrocław]. Acta Societatis Botanicorum Poloniae, 26(1), 45-60.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Tilia cordata,EcM; others not addressed,,Leho Tedersoo,in this study 24% reports conflict with predictions,,,Laura M. Suz,ok,,EcM
"Frydman, I. (1957). Mykotrofizm roślinności pokrywającej gruzy i ruiny domów Wrocławia [Mycotrophic properties of plants growing on ruins in Wrocław]. Acta Societatis Botanicorum Poloniae, 26(1), 45-60.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer platanoides,AM; others not addressed,,Leho Tedersoo,in this study 24% reports conflict with predictions,,,,,,AM
"Frydman, I. (1957). Mykotrofizm roślinności pokrywającej gruzy i ruiny domów Wrocławia [Mycotrophic properties of plants growing on ruins in Wrocław]. Acta Societatis Botanicorum Poloniae, 26(1), 45-60.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer pseudoplatanus,AM; others not addressed,,Leho Tedersoo,in this study 24% reports conflict with predictions,,,,,,AM
"Frydman, I. (1957). Mykotrofizm roślinności pokrywającej gruzy i ruiny domów Wrocławia [Mycotrophic properties of plants growing on ruins in Wrocław]. Acta Societatis Botanicorum Poloniae, 26(1), 45-60.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Populus tremula,AM; others not addressed,,Leho Tedersoo,misleading report from EcM perspective (this genus is EcM-AM; in this study 24% reports conflict with predictions),,,,,,EcM-AM
"Frydman, I. (1957). Mykotrofizm roślinności pokrywającej gruzy i ruiny domów Wrocławia [Mycotrophic properties of plants growing on ruins in Wrocław]. Acta Societatis Botanicorum Poloniae, 26(1), 45-60.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Populus tremula,EcM; others not addressed,,Leho Tedersoo,in this study 24% reports conflict with predictions,,,Laura M. Suz,ok,,EcM-AM
"Frydman, I. (1957). Mykotrofizm roślinności pokrywającej gruzy i ruiny domów Wrocławia [Mycotrophic properties of plants growing on ruins in Wrocław]. Acta Societatis Botanicorum Poloniae, 26(1), 45-60.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Fraxinus excelsior,AM; others not addressed,,Leho Tedersoo,in this study 24% reports conflict with predictions,,,,,,AM
"Höveler, W. (1892). Weber die verwerthung des humus bei der ernährune der chlorophyllführenden pflanzen. Jb. Wiss. Bot. 24, 283-316.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Equisetum hyemale,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"Jones, E. W. (1945). Acer L. Journal of Ecology, 32(2), 215-219.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer pseudoplatanus,AM; others not addressed,,,,,,,,,AM
"Kryuger, L. (1957). Mikrobiologie, 26, 65-70.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Equisetum pratense,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"Kubikova, J. (1961). Endogone sp. in association with vesicular-arbuscular mycorrhiza of ash (Fraxinus excelsior L.). Ceska Mykol, 15, 161-164.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Fraxinus excelsior,AM; others not addressed,,,,,,,,,AM
"Kurbis, W. (1936). Mitt. Forst. Forstwiss., 8, 289-292.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Fraxinus excelsior,AM; others not addressed,,,,,,,,,AM
"Lihnell, D. (1942). Symbolae bot. Upsaliens., 5, 19 pp.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Tilia cordata,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Lihnell, D. (1942). Symbolae bot. Upsaliens., 5, 19 pp.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Linnemann, G. (1964). Mykorrhiza und Düngung. Allg. Forst-u. Jagd, 135, 228-233.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Tilia cordata,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Linnemann, G. (1964). Mykorrhiza und Düngung. Allg. Forst-u. Jagd, 135, 228-233.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer pseudoplatanus,AM; others not addressed,,,,,,,,,AM
"Linnemann, G. (1964). Mykorrhiza und Düngung. Allg. Forst-u. Jagd, 135, 228-233.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Carpinus betulus,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Linnemann, G. (1972). Untersuchungen über die Mykorrhiza-Verhältnisse beiFraxinus-Arten, insbesondere beiFraxinus excelsiorL. Allgemeine Forst-und Jagdzeitung, 143, 1-5.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Fraxinus excelsior,AM; others not addressed,,,,,,,,,AM
"Marx, C., Dexheimer, J., Gianinazzi‐Pearson, V., & Gianinazzi, S. (1982). Enzymatic studies on the metabolism of vesicular–arbuscular mycorrhizas. New Phytologist, 90(1), 37-43.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer pseudoplatanus,AM; others not addressed,,,,,,,,,AM
"Mejstrik, V. (1974). Ecology of mycorrihizae of tree species in reclamation of lignit spoil banks. Nova Hedwigia, 22, 675-98.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",wasteland,,Fraxinus excelsior,AM; others not addressed,,,,,,,,,AM
"Mejstrik, V. (1976). Institute of Landscape Ecology, 1, 99–177. ",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Sorbus aucuparia,AM; others not addressed,,,,,,,,,AM
"Melin, E. (1959). Mycorrhiza. In: Encyclopaedia of Plant Physiology, vol. XI, pp. 605–638, 1st Edn.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Meyer, F. H. (1979). Mitt. dt. Dendrologischen Gesellschaft, 71, 223–229.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Tilia cordata,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Pachlewski, R. (1955). Badania mikotrofismu naturalnych zespol6w ro? linnych na haldach zuzlowo-lupkowych w Walbrzychu (Investigations into mycotrophism in natural plant communities on slate waste tips at Wal-brzych). Roczniki Nauk Lesnych (Prace), 14, 267-291.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer pseudoplatanus,AM; others not addressed,,,,,,,,,AM
"Pachlewski, R. (1955). Badania mikotrofismu naturalnych zespol6w ro? linnych na haldach zuzlowo-lupkowych w Walbrzychu (Investigations into mycotrophism in natural plant communities on slate waste tips at Wal-brzych). Roczniki Nauk Lesnych (Prace), 14, 267-291.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Sorbus aucuparia,AM; others not addressed,,,,,,,,,AM
"Pachlewski, R. (1955). Badania mikotrofismu naturalnych zespol6w ro? linnych na haldach zuzlowo-lupkowych w Walbrzychu (Investigations into mycotrophism in natural plant communities on slate waste tips at Wal-brzych). Roczniki Nauk Lesnych (Prace), 14, 267-291.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Pachlewski, R. (1955). Badania mikotrofismu naturalnych zespol6w ro? linnych na haldach zuzlowo-lupkowych w Walbrzychu (Investigations into mycotrophism in natural plant communities on slate waste tips at Wal-brzych). Roczniki Nauk Lesnych (Prace), 14, 267-291.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Fraxinus excelsior,AM; others not addressed,,,,,,,,,AM
"Pachlewski, R. (1955). Badania mikotrofismu naturalnych zespol6w ro? linnych na haldach zuzlowo-lupkowych w Walbrzychu (Investigations into mycotrophism in natural plant communities on slate waste tips at Wal-brzych). Roczniki Nauk Lesnych (Prace), 14, 267-291.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Fraxinus excelsior,EcM; others not addressed,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM)",Mark Brundrett,incorrect report for EcM,Laura M. Suz,ok,,AM
"Palenzona, M., Chevalier, G., & Fontana, A. (1972). Sintesi micorrizica tra i miceli in coltura di Tuber brumale, T. melanosporum, T. rufum e semenzali di conifere e latifoglie. Allionia, 18, 41-52.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Tilia cordata,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Palenzona, M., Chevalier, G., & Fontana, A. (1972). Sintesi micorrizica tra i miceli in coltura di Tuber brumale, T. melanosporum, T. rufum e semenzali di conifere e latifoglie. Allionia, 18, 41-52.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Carpinus betulus,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Paulson, R. (1924). Tree mycorrhiza: Chiefly Field Notes. Transactions of the British Mycological Society, 9(4), 213-218.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Carpinus betulus,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Peyronel, B. (1920). Alcuni casi di rapporti micorizici tra boletinee ed essenze arboree. Mem d. R. Staz. di Patol. Veg. Roma., 53, 24–31.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Peyronel, B. (1921). Nouveaux cas de rapports mycorhiziques entre Phanérogames et Basidiomycètes. Société mycologique de France, 37, 143–146.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Pigott, C. D. (1982). Fine structure of mycorrhiza formed by Cenococcum geophilum Fr. on Tilia cordata Mill. New Phytologist, 92(4), 501-512.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Tilia cordata,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Pigott, C. D. (1982). Survival of mycorrhiza formed by Cenococcum geophilum Fr. in dry soils. New Phytologist, 92(4), 513-517.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Tilia cordata,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Rayner, M. C. (1927). Mycorrhiza. New Phytol. reprint, 15. Weldon &Wesley, London . ",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Tilia cordata,non-mycorrhizal (checked for all types),,Leho Tedersoo,"incorrect report (this genus is EcM, most reports of this species are EcM)",,,,,,EcM
"Sarauw, G. F. L. (1896). Bot. Tidskr., 18, 127–260.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer pseudoplatanus,AM; others not addressed,,,,,,,,,AM
"Sobotka, A. (1965). Comm. Inst. For. Rech., 4, 204–217.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer pseudoplatanus,AM; others not addressed,,,,,,,,,AM
"Sobotka, A. (1965). Comm. Inst. For. Rech., 4, 204–217.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer pseudoplatanus,EcM; others not addressed,,Leho Tedersoo,"incorrect report (this genus is AM, most reports of this species are AM-only)",Mark Brundrett,incorrect report,Laura M. Suz,not ECM,,AM
"Stahl E. (1900). Der Sinn der Mycorrhizenbildung. Jahrb. Wiss. Bot. 34, 540-668.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer platanoides,AM; others not addressed,,,,,,,,,AM
"Stahl E. (1900). Der Sinn der Mycorrhizenbildung. Jahrb. Wiss. Bot. 34, 540-668.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer pseudoplatanus,AM; others not addressed,,,,,,,,,AM
"Stahl E. (1900). Der Sinn der Mycorrhizenbildung. Jahrb. Wiss. Bot. 34, 540-668.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Aesculus hippocastanum,AM; others not addressed,,,,,,,,,AM
"Stahl E. (1900). Der Sinn der Mycorrhizenbildung. Jahrb. Wiss. Bot. 34, 540-668.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Sorbus aucuparia,EcM; others not addressed,,Leho Tedersoo,incorrect report (this genus is AM),Mark Brundrett,incorrect report,Laura M. Suz,not ECM,,AM
"Stahl E. (1900). Der Sinn der Mycorrhizenbildung. Jahrb. Wiss. Bot. 34, 540-668.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Stahl E. (1900). Der Sinn der Mycorrhizenbildung. Jahrb. Wiss. Bot. 34, 540-668.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Fraxinus excelsior,AM; others not addressed,,,,,,,,,AM
"Truszkowska, W. (1953). Mykotrofizm olesów Bialowieskiego Parku Narodowego I Domaszyna pod Wroclawiem. Soc. Bot. Polon. Acta22, 737-752.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Equisetum pratense,non-mycorrhizal (checked for all types),,Leho Tedersoo,in this study 21% reports conflict with predictions,,,,,,NM-AM
"Truszkowska, W. (1953). Mykotrofizm olesów Bialowieskiego Parku Narodowego I Domaszyna pod Wroclawiem. Soc. Bot. Polon. Acta22, 737-752.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Tilia cordata,AM; others not addressed,,Leho Tedersoo,"incorrect report (this genus is EcM, most reports of this species are EcM; in this study 21% reports conflict with predictions)",Mark Brundrett,probably EcM,,,,EcM
"Truszkowska, W. (1953). Mykotrofizm olesów Bialowieskiego Parku Narodowego I Domaszyna pod Wroclawiem. Soc. Bot. Polon. Acta22, 737-752.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Tilia cordata,EcM; others not addressed,,Leho Tedersoo,in this study 21% reports conflict with predictions,,,Laura M. Suz,ok,,EcM
"Truszkowska, W. (1953). Mykotrofizm olesów Bialowieskiego Parku Narodowego I Domaszyna pod Wroclawiem. Soc. Bot. Polon. Acta22, 737-752.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer platanoides,AM; others not addressed,,Leho Tedersoo,in this study 21% reports conflict with predictions,,,,,,AM
"Truszkowska, W. (1953). Mykotrofizm olesów Bialowieskiego Parku Narodowego I Domaszyna pod Wroclawiem. Soc. Bot. Polon. Acta22, 737-752.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer pseudoplatanus,AM; others not addressed,,Leho Tedersoo,in this study 21% reports conflict with predictions,,,,,,AM
"Truszkowska, W. (1953). Mykotrofizm olesów Bialowieskiego Parku Narodowego I Domaszyna pod Wroclawiem. Soc. Bot. Polon. Acta22, 737-752.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Sorbus aucuparia,AM; others not addressed,,Leho Tedersoo,in this study 21% reports conflict with predictions,,,,,,AM
"Truszkowska, W. (1953). Mykotrofizm olesów Bialowieskiego Parku Narodowego I Domaszyna pod Wroclawiem. Soc. Bot. Polon. Acta22, 737-752.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Sorbus aucuparia,EcM; others not addressed,,Leho Tedersoo,incorrect report (this genus is AM; in this study 21% reports conflict with predictions),Mark Brundrett,incorrect report,Laura M. Suz,not ECM,,AM
"Truszkowska, W. (1953). Mykotrofizm olesów Bialowieskiego Parku Narodowego I Domaszyna pod Wroclawiem. Soc. Bot. Polon. Acta22, 737-752.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Carpinus betulus,EcM; others not addressed,,Leho Tedersoo,in this study 21% reports conflict with predictions,,,Laura M. Suz,ok,,EcM
"Truszkowska, W. (1953). Mykotrofizm olesów Bialowieskiego Parku Narodowego I Domaszyna pod Wroclawiem. Soc. Bot. Polon. Acta22, 737-752.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Fraxinus excelsior,AM; others not addressed,,Leho Tedersoo,in this study 21% reports conflict with predictions,,,,,,AM
"Truszkowska, W. (1953). Mykotrofizm olesów Bialowieskiego Parku Narodowego I Domaszyna pod Wroclawiem. Soc. Bot. Polon. Acta22, 737-752.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Fraxinus excelsior,EcM; others not addressed,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM; in this study 21% reports conflict with predictions)",Mark Brundrett,incorrect report for EcM,Laura M. Suz,ok,,AM
"Stelz, T. (1968). Mycorrhizes et vegetation des pelouses calcaires (Doctoral dissertation).",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer pseudoplatanus,AM; others not addressed,,,,,,,,,AM
"Stelz, T. (1968). Mycorrhizes et vegetation des pelouses calcaires (Doctoral dissertation).",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Fraxinus excelsior,AM; others not addressed,,,,,,,,,AM
"Klecka, A. & Vukolov, V. (1935). Sbornik-Czeskoslov. Akad. Zemed., 10, 443–457.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer pseudoplatanus,AM; others not addressed,,,,,,,,,AM
"Klecka, A. & Vukolov, V. (1935). Sbornik-Czeskoslov. Akad. Zemed., 10, 443–457.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Aesculus hippocastanum,AM; others not addressed,,,,,,,,,AM
"Klecka, A. & Vukolov, V. (1935). Sbornik-Czeskoslov. Akad. Zemed., 10, 443–457.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Carpinus betulus,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Klecka, A. & Vukolov, V. (1935). Sbornik-Czeskoslov. Akad. Zemed., 10, 443–457.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Klecka, A. & Vukolov, V. (1935). Sbornik-Czeskoslov. Akad. Zemed., 10, 443–457.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Fraxinus excelsior,AM; others not addressed,,,,,,,,,AM
"Jeanmaire, C., Dexheimer, J., Marx, C., Gianinazzi, S., & Gianinazzi-Pearson, V. (1985). Effect of vesicular-arbuscular mycorrhizal infection on the distribution of neutral phosphatase activities in root cortical cells. Journal of plant physiology, 119(4), 285-293.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer pseudoplatanus,AM; others not addressed,,,,,,,,,AM
"Stevenson, G. (1964). The growth of seedlings of some pioneer plantsd and the micro-organisms associated with their roots. Transactions of the British Mycological Society, 47(3), 331-339.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer pseudoplatanus,AM; others not addressed,,,,,,,,,AM
"Mosse, B., & Hayman, D. S. (1973). Effects of mycorrhiza on phosphate uptake of some plant species from Meathop wood soil. Bull. Br. Ecol. Soc, 4(6), 1.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Fraxinus excelsior,AM; others not addressed,,,,,,,,,AM
"Harley, J. L., & Brierley, J. K. (1954). The uptake of phosphate by excised mycorrhizal roots of the beech. New Phytologist, 53(2), 240-252.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Harley, J. L., & Brierley, J. K. (1954). The uptake of phosphate by excised mycorrhizal roots of the beech. New Phytologist, 53(2), 240-252.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Populus trichocarpa,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Duddridge, J. A., & Read, D. J. (1984). Modification of the host‐fungus interface in mycorrhizas synthesized between Suillus bovjnus (Fr.) o. Kuntz and Pinus sylvestris L. New Phytologist, 96(4), 583-588.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Fraxinus excelsior,AM; others not addressed,,,,,,,,,AM
"Stahl, E. (1900). Der Sinn der Mycorhizenbildung: eine vergleichend-biologische Studie. Gebr. Borntraeger.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Equisetum hyemale,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"Grevillius, A. Y. (1895). Ueber Mykorrhizen bei der Gattung Botrychium nebst einigen anderen Bemerkungen über das Auftreten von Wurzelsprossen bei B. virginianum Swartz. Flora, 80, 445-453.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer pseudoplatanus,AM; others not addressed,,,,,,,,,AM
"Garbaye, J. (1983). Premiers résultats de recherches sur la compétitivité des champignons ectomycorhiziens. Plant and soil, 71(1), 303-308.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer pseudoplatanus,AM; others not addressed,,,,,,,,,AM
"Gerdemann, J. W., & Trappe, J. M. (1974). The Endogonaceae in the Pacific Northwest. Mycologia Memoir No. 5, New York Botanical Garden and the Mycological Soc. of Amer.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer pseudoplatanus,AM; others not addressed,,,,,,,,,AM
"Hall, I. R., & Fish, B. J. (1979). A key to the Endogonaceae. Transactions of the British Mycological Society, 73(2), 261-270.",y,"Harley, J. L., & Harley, E. L. (1987). A check‐list of mycorrhiza in the British flora. New Phytologist, 105(s1), 1-102.",,,Acer pseudoplatanus,AM; others not addressed,,,,,,,,,AM
